UTC TIME,ACP SAMPLING TIME,PTPM-PUMP MOTOR TEMPERATURE,PUMP SPEED,PUMP CURRENT
2005-01-14T09:11:01:675,40,55.928,50411.4,3.787
2005-01-14T09:11:01:925,40.25,55.928,50411.4,3.787
2005-01-14T09:11:02:175,40.5,54.894,876.72,0.032
2005-01-14T09:11:02:425,40.75,54.894,876.72,0.032
2005-01-14T09:11:02:675,41,55.928,100384.44,0.032
2005-01-14T09:11:02:925,41.25,55.928,100384.44,0.032
2005-01-14T09:11:03:175,41.5,54.894,876.72,0.032
2005-01-14T09:11:03:425,41.75,54.894,876.72,0.032
2005-01-14T09:11:03:675,42,55.928,100822.8,0.032
2005-01-14T09:11:03:925,42.25,55.928,100822.8,0.032
2005-01-14T09:11:04:175,42.5,54.894,876.72,0.032
2005-01-14T09:11:04:425,42.75,54.894,876.72,0.032
2005-01-14T09:11:04:675,43,55.928,100822.8,0.032
2005-01-14T09:11:04:925,43.25,55.928,100822.8,0.032
2005-01-14T09:11:05:175,43.5,54.894,876.72,0.032
2005-01-14T09:11:05:425,43.75,54.894,876.72,0.032
2005-01-14T09:11:05:675,44,55.928,100822.8,3.691
2005-01-14T09:11:05:925,44.25,55.928,100822.8,3.691
2005-01-14T09:11:06:175,44.5,54.894,876.72,0.032
2005-01-14T09:11:06:425,44.75,54.894,876.72,0.032
2005-01-14T09:11:06:675,45,55.928,100822.8,0.032
2005-01-14T09:11:06:925,45.25,55.928,100822.8,0.032
2005-01-14T09:11:07:175,45.5,54.894,876.72,0.032
2005-01-14T09:11:07:425,45.75,54.894,876.72,0.032
2005-01-14T09:11:07:675,46,55.928,100822.8,0.032
2005-01-14T09:11:07:925,46.25,55.928,100822.8,0.032
2005-01-14T09:11:08:175,46.5,54.894,876.72,0.032
2005-01-14T09:11:08:425,46.75,54.894,876.72,0.032
2005-01-14T09:11:08:675,47,55.928,100822.8,0.032
2005-01-14T09:11:08:925,47.25,55.928,100822.8,0.032
2005-01-14T09:11:09:175,47.5,54.894,876.72,0.032
2005-01-14T09:11:09:425,47.75,54.894,876.72,0.032
2005-01-14T09:11:09:675,48,55.928,100822.8,3.691
2005-01-14T09:11:09:925,48.25,55.928,100822.8,3.691
2005-01-14T09:11:10:175,48.5,54.894,876.72,0.032
2005-01-14T09:11:10:425,48.75,54.894,876.72,0.032
2005-01-14T09:11:10:675,49,54.894,1315.08,3.691
2005-01-14T09:11:10:925,49.25,54.894,1315.08,3.691
2005-01-14T09:11:11:175,49.5,54.894,876.72,0.032
2005-01-14T09:11:11:425,49.75,54.894,876.72,0.032
2005-01-14T09:11:11:675,50,54.894,1315.08,3.691
2005-01-14T09:11:11:925,50.25,54.894,1315.08,3.691
2005-01-14T09:11:12:175,50.5,54.894,876.72,0.032
2005-01-14T09:11:12:425,50.75,54.894,876.72,0.032
2005-01-14T09:11:12:675,51,54.894,1315.08,3.691
2005-01-14T09:11:12:925,51.25,54.894,1315.08,3.691
2005-01-14T09:11:13:175,51.5,54.894,876.72,0.032
2005-01-14T09:11:13:425,51.75,54.894,876.72,0.032
2005-01-14T09:11:13:675,52,54.894,1315.08,3.691
2005-01-14T09:11:13:925,52.25,54.894,1315.08,3.691
2005-01-14T09:11:14:175,52.5,54.894,876.72,0.032
2005-01-14T09:11:14:425,52.75,54.894,876.72,0.032
2005-01-14T09:11:14:675,53,54.894,1315.08,3.691
2005-01-14T09:11:14:925,53.25,54.894,1315.08,3.691
2005-01-14T09:11:15:175,53.5,54.894,876.72,0.032
2005-01-14T09:11:15:425,53.75,54.894,876.72,0.032
2005-01-14T09:11:15:675,54,54.894,1315.08,3.691
2005-01-14T09:11:15:925,54.25,54.894,1315.08,3.691
2005-01-14T09:11:16:175,54.5,54.894,876.72,0.032
2005-01-14T09:11:16:425,54.75,54.894,876.72,0.032
2005-01-14T09:11:16:675,55,54.894,1315.08,3.691
2005-01-14T09:11:16:925,55.25,54.894,1315.08,3.691
2005-01-14T09:11:17:175,55.5,54.894,876.72,0.032
2005-01-14T09:11:17:425,55.75,54.894,876.72,0.032
2005-01-14T09:11:17:675,55,10.042,0,0
2005-01-14T09:11:17:925,55.25,10.042,0,0
2005-01-14T09:11:18:175,55.5,10.042,0,0
2005-01-14T09:11:18:425,55.75,10.042,0,0
2005-01-14T09:11:18:675,56,10.042,0,0
2005-01-14T09:11:18:925,56.25,10.042,0,0
2005-01-14T09:11:19:175,56.5,10.042,0,0
2005-01-14T09:11:19:425,56.75,10.042,0,0
2005-01-14T09:11:19:675,57,10.042,0,0
2005-01-14T09:11:19:925,57.25,10.042,0,0
2005-01-14T09:11:20:175,57.5,10.042,0,0
2005-01-14T09:11:20:425,57.75,10.042,0,0
2005-01-14T09:11:20:675,58,10.042,0,0
2005-01-14T09:11:20:925,58.25,10.042,0,0
2005-01-14T09:11:21:175,58.5,10.042,0,0
2005-01-14T09:11:21:425,58.75,10.042,0,0
2005-01-14T09:11:21:675,59,10.042,0,0
2005-01-14T09:11:21:925,59.25,10.042,0,0
2005-01-14T09:11:22:175,59.5,10.042,0,0
2005-01-14T09:11:22:425,59.75,10.042,0,0
2005-01-14T09:11:22:675,60,10.042,0,0
2005-01-14T09:11:22:925,60.25,10.042,0,0
2005-01-14T09:11:23:175,60.5,10.042,0,0
2005-01-14T09:11:23:425,60.75,10.042,0,0
2005-01-14T09:11:23:675,61,10.042,0,0
2005-01-14T09:11:23:925,61.25,10.042,0,0
2005-01-14T09:11:24:175,61.5,10.042,0,0
2005-01-14T09:11:24:425,61.75,10.042,0,0
2005-01-14T09:11:24:675,62,10.042,0,0
2005-01-14T09:11:24:925,62.25,10.042,0,0
2005-01-14T09:11:25:175,62.5,10.042,0,0
2005-01-14T09:11:25:425,62.75,10.042,0,0
2005-01-14T09:11:25:675,63,10.042,0,0
2005-01-14T09:11:25:925,63.25,10.042,0,0
2005-01-14T09:11:26:175,63.5,10.042,0,0
2005-01-14T09:11:26:425,63.75,10.042,0,0
2005-01-14T09:11:26:675,64,10.042,0,0
2005-01-14T09:11:26:925,64.25,10.042,0,0
2005-01-14T09:11:27:175,64.5,10.042,0,0
2005-01-14T09:11:27:425,64.75,10.042,0,0
2005-01-14T09:11:27:675,65,10.042,0,0
2005-01-14T09:11:27:925,65.25,10.042,0,0
2005-01-14T09:11:28:175,65.5,10.042,0,0
2005-01-14T09:11:28:425,65.75,10.042,0,0
2005-01-14T09:11:28:675,66,10.042,0,0
2005-01-14T09:11:28:925,66.25,10.042,0,0
2005-01-14T09:11:29:175,66.5,10.042,0,0
2005-01-14T09:11:29:425,66.75,10.042,0,0
2005-01-14T09:11:29:675,67,10.042,0,0
2005-01-14T09:11:29:925,67.25,10.042,0,0
2005-01-14T09:11:30:175,67.5,10.042,0,0
2005-01-14T09:11:30:425,67.75,10.042,0,0
2005-01-14T09:11:30:675,68,10.042,0,0
2005-01-14T09:11:30:925,68.25,10.042,0,0
2005-01-14T09:11:31:175,68.5,10.042,0,0
2005-01-14T09:11:31:425,68.75,10.042,0,0
2005-01-14T09:11:31:675,69,10.042,0,0
2005-01-14T09:11:31:925,69.25,10.042,0,0
2005-01-14T09:11:32:175,69.5,10.042,0,0
2005-01-14T09:11:32:425,69.75,10.042,0,0
2005-01-14T09:11:32:675,70,10.042,0,0
2005-01-14T09:11:32:925,70.25,10.042,0,0
2005-01-14T09:11:33:175,70.5,10.042,0,0
2005-01-14T09:11:33:425,70.75,10.042,0,0
2005-01-14T09:11:33:675,71,10.042,0,0
2005-01-14T09:11:33:925,71.25,10.042,0,0
2005-01-14T09:11:34:175,71.5,10.042,0,0
2005-01-14T09:11:34:425,71.75,10.042,0,0
2005-01-14T09:11:34:675,72,10.042,0,0
2005-01-14T09:11:34:925,72.25,10.042,0,0
2005-01-14T09:11:35:175,72.5,10.042,0,0
2005-01-14T09:11:35:425,72.75,10.042,0,0
2005-01-14T09:11:35:675,73,10.042,0,0
2005-01-14T09:11:35:925,73.25,10.042,0,0
2005-01-14T09:11:36:175,73.5,10.042,0,0
2005-01-14T09:11:36:425,73.75,10.042,0,0
2005-01-14T09:11:36:675,74,10.042,0,0
2005-01-14T09:11:36:925,74.25,10.042,0,0
2005-01-14T09:11:37:175,74.5,10.042,0,0
2005-01-14T09:11:37:425,74.75,10.042,0,0
2005-01-14T09:11:37:675,75,10.042,0,0
2005-01-14T09:11:37:925,75.25,10.042,0,0
2005-01-14T09:11:38:175,75.5,10.042,0,0
2005-01-14T09:11:38:425,75.75,10.042,0,0
2005-01-14T09:11:38:675,76,10.042,0,0
2005-01-14T09:11:38:925,76.25,10.042,0,0
2005-01-14T09:11:39:175,76.5,10.042,0,0
2005-01-14T09:11:39:425,76.75,10.042,0,0
