UTC TIME,ACP SAMPLING TIME,MINUS15VOLT,15VOLT,5VOLT,RCAL,R0,TCGND,VREF1,VREF2,VREF3
2005-01-14T09:11:01:675,40,0,0,2.5,0,0,-0.547,-0.625,-0.625,-1.25
2005-01-14T09:11:01:925,40.25,0,0,2.5,0,0,-0.547,-0.625,-0.625,-1.25
2005-01-14T09:11:02:175,40.5,0,0,2.5,0,0,-0.547,-0.625,-0.625,-1.25
2005-01-14T09:11:02:425,40.75,0,0,2.5,0,0,-0.547,-0.625,-0.625,-1.25
2005-01-14T09:11:02:675,41,0,0,2.5,0,0,-0.547,-0.625,-0.625,-1.25
2005-01-14T09:11:02:925,41.25,0,0,2.5,0,0,-0.547,-0.625,-0.625,-1.25
2005-01-14T09:11:03:175,41.5,0,0,2.5,0,0,-0.547,-0.625,-0.625,-1.25
2005-01-14T09:11:03:425,41.75,0,0,2.5,0,0,-0.547,-0.625,-0.625,-1.25
2005-01-14T09:11:03:675,42,0,0,2.5,0,0,-0.547,-0.625,-0.625,-1.25
2005-01-14T09:11:03:925,42.25,0,0,2.5,0,0,-0.547,-0.625,-0.625,-1.25
2005-01-14T09:11:04:175,42.5,0,0,2.5,0,0,-0.547,-0.625,-0.625,-1.25
2005-01-14T09:11:04:425,42.75,0,0,2.5,0,0,-0.547,-0.625,-0.625,-1.25
2005-01-14T09:11:04:675,43,0,0,2.5,0,0,-0.547,-0.625,-0.625,-1.25
2005-01-14T09:11:04:925,43.25,0,0,2.5,0,0,-0.547,-0.625,-0.625,-1.25
2005-01-14T09:11:05:175,43.5,0,0,2.5,0,0,-0.547,-0.625,-0.625,-1.25
2005-01-14T09:11:05:425,43.75,0,0,2.5,0,0,-0.547,-0.625,-0.625,-1.25
2005-01-14T09:11:05:675,44,0,0,2.5,0,0,-0.547,-0.625,-0.625,-1.25
2005-01-14T09:11:05:925,44.25,0,0,2.5,0,0,-0.547,-0.625,-0.625,-1.25
2005-01-14T09:11:06:175,44.5,0,0,2.5,0,0,-0.547,-0.625,-0.625,-1.25
2005-01-14T09:11:06:425,44.75,0,0,2.5,0,0,-0.547,-0.625,-0.625,-1.25
2005-01-14T09:11:06:675,45,0,0,2.5,0,0,-0.547,-0.625,-0.625,-1.25
2005-01-14T09:11:06:925,45.25,0,0,2.5,0,0,-0.547,-0.625,-0.625,-1.25
2005-01-14T09:11:07:175,45.5,0,0,2.5,0,0,-0.547,-0.625,-0.625,-1.25
2005-01-14T09:11:07:425,45.75,0,0,2.5,0,0,-0.547,-0.625,-0.625,-1.25
2005-01-14T09:11:07:675,46,0,0,2.5,0,0,-0.547,-0.625,-0.625,-1.25
2005-01-14T09:11:07:925,46.25,0,0,2.5,0,0,-0.547,-0.625,-0.625,-1.25
2005-01-14T09:11:08:175,46.5,0,0,2.5,0,0,-0.547,-0.625,-0.625,-1.25
2005-01-14T09:11:08:425,46.75,0,0,2.5,0,0,-0.547,-0.625,-0.625,-1.25
2005-01-14T09:11:08:675,47,0,0,2.5,0,0,-0.547,-0.625,-0.625,-1.25
2005-01-14T09:11:08:925,47.25,0,0,2.5,0,0,-0.547,-0.625,-0.625,-1.25
2005-01-14T09:11:09:175,47.5,0,0,2.5,0,0,-0.547,-0.625,-0.625,-1.25
2005-01-14T09:11:09:425,47.75,0,0,2.5,0,0,-0.547,-0.625,-0.625,-1.25
2005-01-14T09:11:09:675,48,0,0,2.5,0,0,-0.547,-0.625,-0.625,-1.25
2005-01-14T09:11:09:925,48.25,0,0,2.5,0,0,-0.547,-0.625,-0.625,-1.25
2005-01-14T09:11:10:175,48.5,0,0,2.5,0,0,-0.547,-0.625,-0.625,-1.25
2005-01-14T09:11:10:425,48.75,0,0,2.5,0,0,-0.547,-0.625,-0.625,-1.25
2005-01-14T09:11:10:675,49,0,0,2.5,0,0,-0.547,-0.625,-0.625,-1.25
2005-01-14T09:11:10:925,49.25,0,0,2.5,0,0,-0.547,-0.625,-0.625,-1.25
2005-01-14T09:11:11:175,49.5,0,0,2.5,0,0,-0.547,-0.625,-0.625,-1.25
2005-01-14T09:11:11:425,49.75,0,0,2.5,0,0,-0.547,-0.625,-0.625,-1.25
2005-01-14T09:11:11:675,50,0,0,2.5,0,0,-0.547,-0.625,-0.625,-1.25
2005-01-14T09:11:11:925,50.25,0,0,2.5,0,0,-0.547,-0.625,-0.625,-1.25
2005-01-14T09:11:12:175,50.5,0,0,2.5,0,0,-0.547,-0.625,-0.625,-1.25
2005-01-14T09:11:12:425,50.75,0,0,2.5,0,0,-0.547,-0.625,-0.625,-1.25
