EARTH RECEIVED TIME (UTC),SKY FREQUENCY (HZ)
2005-01-14T10:19:27.000,2040009138
2005-01-14T10:19:29.000,2040009139
2005-01-14T10:19:31.000,2040009138
2005-01-14T10:19:33.000,2040009137
2005-01-14T10:19:35.000,2040009138
2005-01-14T10:19:37.000,2040009139
2005-01-14T10:19:39.000,2040009139
2005-01-14T10:19:41.000,2040009140
2005-01-14T10:19:43.000,2040009141
2005-01-14T10:19:45.000,2040009141
2005-01-14T10:19:47.000,2040009143
2005-01-14T10:19:49.000,2040009145
2005-01-14T10:19:51.000,2040009146
2005-01-14T10:19:53.000,2040009147
2005-01-14T10:19:55.000,2040009147
2005-01-14T10:19:57.000,2040009146
2005-01-14T10:19:59.000,2040009146
2005-01-14T10:20:01.000,2040009146
2005-01-14T10:20:03.000,2040009147
2005-01-14T10:20:05.000,2040009147
2005-01-14T10:20:07.000,2040009149
2005-01-14T10:20:09.000,2040009150
2005-01-14T10:20:11.000,2040009150
2005-01-14T10:20:13.000,2040009152
2005-01-14T10:20:15.000,2040009154
2005-01-14T10:20:17.000,2040009154
2005-01-14T10:20:19.000,2040009154
2005-01-14T10:20:21.000,2040009153
2005-01-14T10:20:23.000,2040009153
2005-01-14T10:20:25.000,2040009152
2005-01-14T10:20:27.000,2040009151
2005-01-14T10:20:29.000,2040009150
2005-01-14T10:20:31.000,2040009148
2005-01-14T10:20:33.000,2040009147
2005-01-14T10:20:35.000,2040009145
2005-01-14T10:20:37.000,2040009145
2005-01-14T10:20:39.000,2040009145
2005-01-14T10:20:41.000,2040009146
2005-01-14T10:20:43.000,2040009147
2005-01-14T10:20:45.000,2040009148
2005-01-14T10:20:47.000,2040009148
2005-01-14T10:20:49.000,2040009148
2005-01-14T10:20:51.000,2040009149
2005-01-14T10:20:53.000,2040009149
2005-01-14T10:20:55.000,2040009148
2005-01-14T10:20:57.000,2040009147
2005-01-14T10:20:59.000,2040009145
2005-01-14T10:21:01.000,2040009144
2005-01-14T10:21:03.000,2040009143
2005-01-14T10:22:17.000,2040009143
2005-01-14T10:22:19.000,2040009142
2005-01-14T10:22:21.000,2040009143
2005-01-14T10:22:23.000,2040009142
2005-01-14T10:22:25.000,2040009139
2005-01-14T10:22:27.000,2040009137
2005-01-14T10:22:29.000,2040009135
2005-01-14T10:22:31.000,2040009134
