"         ""UTC_ABS_TIME""",ABS_TIME,ABS_SEC,NA,NA,NA,ACP_T,ACP_P,UN1,UN2,START (DALTONS),END (DALTONS),"       ""X1""","       ""M2""","       ""M3""","       ""M4""","       ""M5""","       ""M6""","       ""M7""","       ""M8""","       ""M9""","      ""M10""","      ""M11""","      ""M12""","      ""M13""","      ""M14""","      ""M15""","      ""M16""","      ""M17""","      ""M18""","      ""M19""","      ""X20""","      ""M20""","      ""M21""","      ""M22""","      ""M23""","      ""M24""","      ""M25""","      ""M26""","      ""M27""","      ""M28""","      ""M29""","      ""M30""","      ""M31""","      ""M32""","      ""M33""","      ""M34""","      ""M35""","      ""M36""","      ""M37""","      ""M38""","      ""M39""","      ""M40""","      ""M41""","      ""M42""","      ""M43""","      ""M44""","      ""M45""","      ""M46""","      ""M47""","      ""M48""","      ""M49""","      ""M50""","      ""M51""","      ""M52""","      ""M53""","      ""M54""","      ""M55""","      ""M56""","      ""M57""","      ""M58""","      ""M59""","      ""M60""","      ""M61""","      ""M62""","      ""M63""","      ""M64""","      ""M65""","      ""M66""","      ""M67""","      ""M68""","      ""M69""","      ""M70""","      ""M71""","      ""M72""","      ""M73""","      ""M74""","      ""M75""","      ""M76""","      ""M77""","      ""M78""","      ""M79""","      ""M80""","      ""M81""","      ""M82""","      ""M83""","      ""M84""","      ""M85""","      ""M86""","      ""M87""","      ""M88""","      ""M89""","      ""M90""","      ""M91""","      ""M92""","      ""M93""","      ""M94""","      ""M95""","      ""M96""","      ""M97""","      ""M98""","      ""M99""","     ""M100""","     ""M101""","     ""M102""","     ""M103""","     ""M104""","     ""M105""","     ""M106""","     ""M107""","     ""M108""","     ""M109""","     ""M110""","     ""M111""","     ""M112""","     ""M113""","     ""M114""","     ""M115""","     ""M116""","     ""M117""","     ""M118""","     ""M119""","     ""M120""","     ""M121""","     ""M122""","     ""M123""","     ""M124""","     ""M125""","     ""M126""","     ""M127""","     ""M128""","     ""M129""","     ""M130""","     ""M131""","     ""M132""","     ""M133""","     ""M134""","     ""M135""","     ""M136""","     ""M137""","     ""M138""","     ""M139""","     ""M140""","     ""M141""","      ""T1A""","      ""T1B""","      ""T1C""","      ""T2A""","      ""T2B""","      ""T2C""","      ""T3A""","      ""T3B""","      ""T3C""","      ""T4A""","      ""T4B""","      ""T4C""","      ""T5A""","      ""T5B""","      ""T5C""",SEQ_CNTR,"  ""GCMS_GMT""",GCMS_DATE,"   ""GCMS_TIME""",AB,SUBSWP,SCN_CNT,"  ""MET_TIME"""
2005-01-14T10:15:07.572,8637364,3886.813,0,0,0,38.44,0.2578,0,0,2,141,2177.7,1742.1,0,0,0,0,0,0,0,0,0,0,435.5,0,5662,8928.5,0,0,871,0,871,0,0,0,0,0,0,217.7,1088.8,0,0,0,0,0,0,0,217.7,0,0,0,0,0,0,0,871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.7,0,0,217.7,217.7,0,147212.5,158754.3,147212.5,251742.1,237151.5,251742.1,0,0,0,61967,1160112.265, 2005-01-14, T10:15:12.265,   B,128,185,90286.8125
2005-01-14T10:15:09.494,8637487,3888.734,0,0,0,38.44,0.2578,0,0,2,141,3048.7,2613.2,0,0,0,0,0,0,0,0,0,0,0,0,5444.2,5662,0,0,1524.3,0,217.7,0,0,0,0,0,0,0,871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.7,0,0,217.7,0,147212.5,158754.3,158754.3,251742.1,251742.1,251742.1,0,0,0,61969,1160114.515, 2005-01-14, T10:15:14.515,   B,128,187,90288.73438
2005-01-14T10:15:11.494,8637615,3890.734,0,0,0,38.44,0.2578,0,0,2,141,1742.1,2831,0,0,0,0,0,0,0,0,0,217.7,0,1088.8,3919.8,7186.4,0,0,871,0,0,0,0,0,0,217.7,435.5,217.7,1524.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,653.3,0,0,217.7,0,0,0,0,0,0,0,0,435.5,0,0,0,0,0,0,0,217.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.7,435.5,217.7,147212.5,147212.5,147212.5,266768.2,251742.1,251742.1,0,0,0,61971,1160116.515, 2005-01-14, T10:15:16.514,   B,128,189,90290.73438
2005-01-14T10:15:13.306,8637731,3892.547,0,0,0,38.44,0.2578,0,0,2,141,1088.8,1959.9,0,0,0,0,0,0,0,0,0,0,217.7,435.5,6750.8,7621.9,653.3,217.7,1088.8,435.5,0,0,0,0,0,0,217.7,0,653.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.7,0,0,158754.3,158754.3,158754.3,266768.2,251742.1,251742.1,0,0,0,61973,1160118.64, 2005-01-14, T10:15:18.639,   B,128,191,90292.54688
2005-01-14T10:15:15.181,8637851,3894.422,0,0,0,38.44,0.2578,0,0,2,141,3266.5,1742.1,0,0,0,0,0,0,0,0,0,0,0,435.5,2831,8057.4,0,0,435.5,0,217.7,0,0,0,0,0,0,0,217.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.7,435.5,158754.3,147212.5,158754.3,251742.1,237151.5,251742.1,0,0,0,61974,1160119.64, 2005-01-14, T10:15:19.639,   B,128,193,90294.42188
2005-01-14T10:15:17.056,8637971,3896.297,0,0,0,38.44,0.2578,0,0,2,141,4790.9,5226.4,0,0,0,0,0,0,0,0,0,217.7,1306.6,31358.8,36803.1,48998.2,653.3,0,1524.3,0,0,0,0,0,0,0,435.5,2831,658754.3,10017.4,36803.1,0,0,0,0,0,0,0,0,0,217.7,0,0,0,435.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147212.5,158754.3,158754.3,251742.1,251742.1,251742.1,0,0,0,61976,1160122.015, 2005-01-14, T10:15:22.014,   B,128,195,90296.29688
2005-01-14T10:15:18.931,8638091,3898.172,0,0,0,38.44,0.2578,0,0,2,141,4355.4,5879.7,0,0,0,0,0,0,0,0,0,1306.6,1959.9,42682.9,105400.6,158754.3,2613.2,0,1088.8,0,0,0,0,0,0,0,217.7,3702,611716,7839.7,36803.1,0,0,0,0,0,0,0,0,0,0,0,0,0,435.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.7,217.7,0,158754.3,158754.3,158754.3,251742.1,251742.1,251742.1,0,0,0,61978,1160124.015, 2005-01-14, T10:15:24.014,   B,128,197,90298.17188
2005-01-14T10:15:20.806,8638211,3900.047,0,0,0,38.44,0.2578,0,0,2,141,6533.1,6097.5,0,0,0,0,0,0,0,0,0,1524.3,4573.1,36803.1,136106.2,195993,1959.9,0,871,0,435.5,0,0,0,0,0,0,2831,611716,8275.2,31358.8,0,0,217.7,0,0,435.5,0,0,0,1306.6,0,0,0,435.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.7,0,0,871,1306.6,435.5,158754.3,158754.3,158754.3,251742.1,237151.5,251742.1,0,0,0,61979,1160125.015, 2005-01-14, T10:15:25.014,   B,128,199,90300.04688
2005-01-14T10:15:22.666,8638330,3901.906,0,0,0,38.44,0.2578,0,0,2,141,6097.5,7404.1,0,0,0,0,0,0,0,0,0,1959.9,3266.5,48998.2,170731.7,237151.5,1306.6,0,217.7,0,217.7,0,0,0,0,0,653.3,4137.6,783972.1,14808.3,298127.1,0,0,0,0,0,0,0,217.7,217.7,1306.6,0,0,0,653.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.7,147212.5,147212.5,158754.3,266768.2,237151.5,237151.5,0,0,0,61981,1160127.265, 2005-01-14, T10:15:27.264,   B,128,201,90301.90625
2005-01-14T10:15:24.510,8638448,3903.75,0,0,0,38.44,0.2578,0,0,2,141,5662,6750.8,0,435.5,0,0,0,0,0,0,0,1306.6,6097.5,48998.2,170731.7,237151.5,1959.9,0,217.7,435.5,0,0,0,0,0,0,217.7,5008.7,758057.5,14590.5,237151.5,0,0,0,0,0,0,0,0,0,1306.6,0,0,0,217.7,0,0,217.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158754.3,147212.5,147212.5,251742.1,251742.1,251742.1,0,0,0,61983,1160129.265, 2005-01-14, T10:15:29.264,   B,128,203,90303.75
